순번,침수 원인(FLUD_CAUSE),침수 지구 명(F_DSTRC_NM),침수 재해 명(F_DSSTR_NM),침수 원인 상세(F_CUE_DTL),행정구역 코드(ADM_CD),침수위(FLUD_WAL),Latitude,Longitude
37656,1,금성면 양화지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 양화리,171,37.0756948,128.2048022
37678,1,봉양읍 월림지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 월림리,155.6,37.0835908,128.1776869
37679,1,봉양읍 월림지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 월림리,155.3,37.0835908,128.1776869
37681,1,봉양읍 월림지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 월림리,155.3,37.0835908,128.1776869
37688,1,봉양읍 월림지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 월림리,168.2,37.0835908,128.1776869
37694,1,봉양읍 월림지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 월림리,164.3,37.0835908,128.1776869
37710,1,금성면 위림지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 위림리,164.6,37.0812586,128.1655274
37712,1,금성면 위림지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 위림리,164.2,37.0812586,128.1655274
37714,1,금성면 위림지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 위림리,164.9,37.0812586,128.1655274
37720,1,금성면 적덕지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 적덕리,156.7,37.0637056,128.1589716
37722,1,금성면 적덕지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 적덕리,154.7,37.0637056,128.1589716
37743,1,백운면 모정지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 백운면 모정리,232.1,37.1303426,128.0410544
37744,1,백운면 모정지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 백운면 모정리,234.9,37.1303426,128.0410544
37747,1,백운면 모정지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 백운면 모정리,254.8,37.1303426,128.0410544
37770,1,백운면 모정지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 백운면 모정리,230.4,37.1303426,128.0410544
37773,1,백운면 모정지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 백운면 모정리,226.7,37.1303426,128.0410544
37786,1,백운면 애련지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 백운면 애련리,202.1,37.1074786,128.0561387
37787,1,백운면 애련지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 백운면 애련리,201.1,37.1074786,128.0561387
37809,1,백운면 원월1지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 백운면 원월리,260.2,37.1256137,128.0021198
37816,1,백운면 원월2지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 백운면 원월리,265.8,37.1256137,128.0021198
37840,1,곤지암(오향2)지구,7.28.~8.11 호우,내수침수,경기도 광주시 곤지암읍 오향리,92,37.3754194,127.3733874
38082,1,교동2지구,07.23~07.25 집중호우,저지대침수,강원도 삼척시 교동,16.6,37.4479795,129.164595
38083,1,노경1지구,07.23~07.25 집중호우,집중호우로 인한 저지대침수,강원도 삼척시 원덕읍 노경리,7.6,37.1689091,129.311176
38086,1,노경2지구,07.23~07.25 집중호우,집중호우로 인한 저지대침수,강원도 삼척시 원덕읍 노경리,7.5,37.1689091,129.311176
38089,1,임원1지구,07.23~07.25 집중호우,집중호우로 인한 저지대침수,강원도 삼척시 원덕읍 임원리,15.4,37.2395383,129.3139976
38092,1,임원2지구,07.23~07.25 집중호우,집중호우로 인한 저지대침수,강원도 삼척시 원덕읍 임원리,8.4,37.2395383,129.3139976
38107,1,근화동지구,집중호우,집중호우,강원도 춘천시 근화동,72.9,37.880565,127.7124994
38115,1,신동면의암리2지구,집중호우,의암댐수문개방,강원도 춘천시 신동면 의암리,67.2,37.8342406,127.6889794
38117,1,중방지구,집중호우,우8월 집중호,강원도 홍천군 서면 중방대리,87.6,37.6554456,127.6104471
38119,1,산양지구,8월 집중호우,집중호우 및 배수시설 역류,강원도 화천군 사내면 사창리,282.5,38.0762608,127.5212347
38403,1,미사지구,7.28~8.11. 호우,집중호우에 의한 내수침수,경기도 하남시 미사동,19.8,37.5711633,127.2083336
38412,1,미평지구,7.28~8.11호우,내수침수,경기도 용인시 처인구 원삼면 미평리,116.9,37.1865242,127.318975
38431,1,논강1지구,2020년08월02일 집중호우,,충청북도 충주시 엄정면 논강리,108.4,37.0943949,127.9013827
38438,1,봉곡1지구,2020년 08월 집중호우,국지성 집중호우,충청북도 영동군 양산면 봉곡리,120.2,36.1351719,127.6853516
38446,1,송호원당지구,20년 8월 집중호우,국지성집중호우,충청북도 영동군 양산면 송호리,120.7,36.1288543,127.6748078
38450,1,송호원당지구,20년 8월 집중호우,국지성집중호우,충청북도 영동군 양산면 송호리,120.7,36.1288543,127.6748078
38470,1,임현지구,2020년 집중호우,집중호우에 의한 하천 및 구거범람,충청북도 단양군 어상천면 임현리,242.1,37.1047958,128.3578352
38476,1,봉양읍 장평지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 봉양읍 장평리,216.1,37.1278175,128.1429292
38477,1,봉양읍 장평지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 봉양읍 장평리,216.1,37.1278175,128.1429292
38483,1,봉양읍 장평지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 봉양읍 장평리,216.5,37.1278175,128.1429292
38491,1,봉양읍 장평지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 봉양읍 장평리,217.5,37.1278175,128.1429292
38501,1,봉양읍 장평지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 봉양읍 장평리,235.5,37.1278175,128.1429292
38523,1,봉양읍 삼거지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 삼거리,284.9,37.0998168,128.152568
38534,1,봉양읍 삼거지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 삼거리,204.1,37.0998168,128.152568
38535,1,봉양읍 삼거지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 삼거리,208.1,37.0998168,128.152568
38539,1,봉양읍 삼거지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 삼거리,217.3,37.0998168,128.152568
38558,1,봉양읍 삼거지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 삼거리,246.9,37.0998168,128.152568
38568,1,봉양읍 삼거지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 삼거리,218.9,37.0998168,128.152568
38569,1,봉양읍 삼거지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 삼거리,219.7,37.0998168,128.152568
38586,1,도당지구,7.28.~8.11. 호우,내수침수,충청북도 증평군 도안면 도당리,63.7,36.8018916,127.627915
38596,1,신천1지구,태풍 장미,도로배수불량,경기도 시흥시 신천동,13.8,37.4387291,126.7810609
38722,1,상시2지구,2020년 집중호우,집중호우에 의한 하천범람,충청북도 단양군 매포읍 상시리,196.4,37.0566497,128.3085986
38729,1,팔성지구,2020.08.02 집중호우,내수침수,충청북도 음성군 생극면 팔성리,74.1,37.0438698,127.5878798
38788,1,신동지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 신동,226.9,37.1282336,128.1653828
38791,1,신동지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 신동,230.7,37.1282336,128.1653828
38793,1,신동지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 신동,219.6,37.1282336,128.1653828
38853,1,금성면 대장지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 대장리,281.9,37.0703984,128.2283326
38887,1,장산지구,2020.7.28~8.11침수피해,,경기도 파주시 문산읍 장산리,11,37.9026921,126.7810874
38896,1,장산지구,2020.7.28~8.11침수피해,,경기도 파주시 문산읍 장산리,10.8,37.9026921,126.7810874
38937,1,눌노지구,2020년 7월 28일 ~ 8월 11일 호우에 의한 침수피해,,경기도 파주시 파평면 눌노리,13.2,37.9294326,126.8556934
38940,1,눌노지구,2020.7.28~8.11침수피해,,경기도 파주시 파평면 눌노리,12.3,37.9294326,126.8556934
38952,1,정자지구,2020.7.28~8.11침수피해,,경기도 파주시 군내면 정자리,11,37.9168151,126.7558263
38954,1,정자지구,2020.7.28~8.11침수피해,,경기도 파주시 군내면 정자리,11,37.9168151,126.7558263
38955,1,정자지구,2020.7.28~8.11침수피해,,경기도 파주시 군내면 정자리,11,37.9168151,126.7558263
38962,1,정자지구,2020.7.28~8.11침수피해,,경기도 파주시 군내면 정자리,11,37.9168151,126.7558263
38988,1,율곡지구,2020.7.28~8.11침수피해,,경기도 파주시 파평면 율곡리,12.8,37.8874885,126.8178993
38992,1,율곡지구,2020.7.28~8.11침수피해,,경기도 파주시 파평면 율곡리,12.8,37.8874885,126.8178993
38994,1,율곡지구,2020.7.28~8.11침수피해,,경기도 파주시 파평면 율곡리,12.8,37.8874885,126.8178993
39004,1,금파지구,2020.7.28~8.11침수피해,,경기도 파주시 파평면 금파리,10.5,37.916119,126.8471628
39007,1,용산지구,2020.7.28~8.11침수피해,,경기도 파주시 진동면 하포리,14.9,37.9274334,126.8155164
39061,1,봉양읍 연박지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 연박리,207.1,37.1316747,128.1045159
39064,1,봉양읍 연박지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 연박리,206.6,37.1316747,128.1045159
39072,1,봉양읍 연박지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 연박리,228.3,37.1316747,128.1045159
